AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
Lava005,4K-JPG,zip,102886160,https://cc0textures.com/get?file=Lava005_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Lava005_zw5a2f96/Lava005_4K-JPG.zip
Lava005,8K-JPG,zip,430725351,https://cc0textures.com/get?file=Lava005_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Lava005_zw5a2f96/Lava005_8K-JPG.zip
Lava004,2K-JPG,zip,21464316,https://cc0textures.com/get?file=Lava004_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Lava004_c2dfwynj/Lava004_2K-JPG.zip
Lava004,4K-JPG,zip,93315934,https://cc0textures.com/get?file=Lava004_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Lava004_c2dfwynj/Lava004_4K-JPG.zip
Lava004,8K-JPG,zip,405160572,https://cc0textures.com/get?file=Lava004_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Lava004_c2dfwynj/Lava004_8K-JPG.zip
Lava003,2K-JPG,zip,21541580,https://cc0textures.com/get?file=Lava003_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Lava003_ecl7i4tw/Lava003_2K-JPG.zip
Lava003,4K-JPG,zip,80079160,https://cc0textures.com/get?file=Lava003_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Lava003_ecl7i4tw/Lava003_4K-JPG.zip
Lava003,8K-JPG,zip,314715248,https://cc0textures.com/get?file=Lava003_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Lava003_ecl7i4tw/Lava003_8K-JPG.zip
Lava002,2K-JPG,zip,20974211,https://cc0textures.com/get?file=Lava002_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Lava002_pnsjac2q/Lava002_2K-JPG.zip
Lava002,4K-JPG,zip,77804422,https://cc0textures.com/get?file=Lava002_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Lava002_pnsjac2q/Lava002_4K-JPG.zip
